subj	trialNr	pos1	pos2	pos3	pos4	time1	time2	time3	timeText	reaTime	rX	rY	task
40	30	-0.0299999995529652	0.0199999993294477	0.0699999982118607	0.119999995231628	0.9	0.9	0.9	284.0145733	284.9910612	-0.128193840384483	-0.26830193400383	viz.VizText(50)
40	31	-0.160000005960464	-0.0100000002235174	0.140000005960464	0.290000011920929	0.9	0.9	0.9	292.7547667	293.6654017	-0.313603818416595	-0.129933938384056	viz.VizText(49)
40	32	-0.0500000061094761	0.0499999991059303	0.150000000596046	0.250000024437904	0.3	0.3	0.3	299.6379887	300.5290923	-0.276073545217514	-0.221379011869431	viz.VizText(50)
40	33	-0.0199999993294477	0.0299999995529652	0.0800000002980232	0.129999997317791	1.5	1.5	1.5	310.1172659	311.279613	-0.289838045835495	-0.285720348358154	viz.VizText(49)
40	34	-0.00999999955296516	0.0399999993294477	0.0899999982118607	0.139999995231628	0.3	0.3	0.3	317.2226044	318.5547985	0.0367022715508938	-0.180201783776283	viz.VizText(50)
40	35	-0.170000011324883	-0.0199999997764826	0.130000000596046	0.280000021457672	1.5	1.5	1.5	328.1393375	330.9227911	0.136615052819252	-0.713756084442139	viz.VizText(50)
40	36	-0.0600000044703484	0.0400000007450581	0.140000005960464	0.240000029802322	0.3	0.3	0.3	336.8698666	339.2126518	0	0.00999999977648258	viz.VizText(50)
40	37	-0.160000016689301	-0.00999999955296516	0.139999995231628	0.290000030994415	0.9	0.9	0.9	389.9245082	391.0013997	-0.221285879611969	-0.0933174267411232	viz.VizText(50)
40	38	-0.170000011324883	-0.0199999997764826	0.130000000596046	0.280000021457672	0.3	0.3	0.3	396.9663028	398.0541296	-0.376524657011032	-0.0189943257719278	viz.VizText(50)
40	39	2.23517418115882e-10	0.0499999991059303	0.0999999961256981	0.150000000596046	0.3	0.3	0.3	404.0295044	405.1244181	-0.355924725532532	-0.132634490728378	viz.VizText(50)
40	40	0.0100000002235174	0.0600000007450581	0.109999994039536	0.160000005960464	0.9	0.9	0.9	412.8778089	415.6949119	-0.208369135856628	-0.237451329827309	viz.VizText(49)
40	41	0.0199999997764826	0.0700000023841858	0.119999991953373	0.170000011324883	0.3	0.3	0.3	421.6449504	422.2431847	0.456280112266541	-0.317798316478729	viz.VizText(50)
40	42	0.0299999995529652	0.0800000002980232	0.12999998986721	0.180000016689301	0.9	0.9	0.9	430.0078597	431.0578693	-0.559182822704315	-0.298157662153244	viz.VizText(50)
